model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,average_precision_mean,average_precision_std,auc_roc_mean,auc_roc_std,brier_mean,brier_std,ece_10_mean,ece_10_std
B-TabPFN nested K,0.6970588235294117,0.10369236745818403,0.5861394161394161,0.11493014834435318,0.6794871794871795,0.16337422951807926,0.6267243416576008,0.13046252432214336,0.6566399915428315,0.14793976514694415,0.6706570408731607,0.12102115025491723,0.7455494505494505,0.10344049041443906,0.2005807591737261,0.035576371602099616,0.18338589506911085,0.03490052609392978
Gaussian Naive Bayes,0.4311942959001782,0.05526773029775639,0.39737999231950843,0.031057716310896176,0.9679487179487178,0.04143316117449853,0.563049152901677,0.03611932989458557,0.751404895150664,0.03843821663632808,0.6977681857945399,0.14707253099879147,0.7492735042735043,0.11324235946666057,0.5351957584667811,0.06869824244662338,0.5476417261645177,0.06373546589850604
KNN,0.699554367201426,0.057804069202664586,0.6461327561327561,0.11205308683270174,0.47435897435897434,0.12816951072195576,0.537743370283416,0.10874534364550807,0.49645143142933906,0.12045968308784226,0.5844835411356335,0.10671556573488752,0.7061141636141637,0.0807701101504011,0.21986463244941393,0.039157090069842665,0.14337665545892417,0.04439280579997995
Logistic Regression,0.7057040998217469,0.09512939957734828,0.6180995883201765,0.11436777150804117,0.6397435897435898,0.1471041728343513,0.6198562285677438,0.11173100291841985,0.6295006772571773,0.12905389128996922,0.6499120994631405,0.13895672545669135,0.7282600732600732,0.10406039944384647,0.20702293550963655,0.03506194675103674,0.19527031625472674,0.03295514240995874
Random Forest,0.706060606060606,0.0950022051671577,0.6130629990924109,0.11655097044627867,0.6403846153846154,0.13683390984611707,0.6216046968745619,0.11654296241434711,0.631621000908525,0.12649560684778216,0.6609422828530281,0.10799413419058683,0.732087912087912,0.10272866922893246,0.2014391100476641,0.030972296971725197,0.16729714500094856,0.037601404197250075
Standard TabPFN v2,0.7028520499108735,0.06765561083161224,0.6353280053280053,0.11144168371865203,0.49102564102564106,0.1473026773326296,0.5479344713257757,0.12691130805219442,0.51128103450313,0.1393691547657503,0.6706199886083416,0.12415402391997434,0.7460500610500611,0.10717748929023849,0.19154930706078782,0.0386554822551318,0.1753692003574601,0.04650929384165341
XGBoost,0.6971479500891266,0.08677202851830002,0.5975656288156288,0.10431356496242375,0.6237179487179487,0.13119901721060365,0.6072288286426217,0.11335144170648619,0.6163397182722716,0.12332999624200118,0.6519583841310829,0.10167963946470353,0.7134371184371184,0.09926826470268403,0.2153687136247801,0.046615434553742265,0.19909987781402688,0.07292957520372913
