group,population_n,sample_n,sample_comparable_denominator,population_denominator,sample_percent,population_percent,percentage_point_difference,source,academic_year,interpretation,dimension,sample_denominator
Female,31184,201,409.0,70268,49.1442542787286,44.3786645414698,4.7655897372588,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,gender,
Male,39084,208,409.0,70268,50.8557457212714,55.6213354585302,-4.7655897372588,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,gender,
College of Agriculture and Natural Resources,6072,13,,70268,3.0878859857482186,8.641202254226675,-5.553316268478456,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,official_college,421.0
College of Art and Built Environment,7413,10,,70268,2.375296912114014,10.549610064325154,-8.174313152211141,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,official_college,421.0
College of Engineering,9905,48,,70268,11.401425178147269,14.096032333352309,-2.6946071552050395,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,official_college,421.0
College of Health Sciences,10256,53,,70268,12.589073634204276,14.595548471566005,-2.006474837361729,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,official_college,421.0
College of Humanities and Social Sciences,18822,139,,70268,33.0166270783848,26.78601924062162,6.230607837763181,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,official_college,421.0
College of Science,11259,151,,70268,35.86698337292162,16.022940741162408,19.84404263175921,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,official_college,421.0
IDL,6541,0,,70268,0.0,9.30864689474583,-9.30864689474583,KNUST Quality Assurance and Planning Office (QAPO),2025/2026,descriptive composition difference; no representativeness inference,official_college,421.0
