uci_protocol_hash,split_hash,seed,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,a00e91a9bf4225728cadc00f631223b4d641783648030c08193ce37af8b03220,1,Logistic Regression,885,284,601,521,80,60,224,0.5,0.8418079096045198,0.7368421052631579,0.7887323943661971,0.8668885191347754,0.8278104567504863,0.8967297762478486,304,0.34350282485875705,1.3571428571428572,0.7619047619047619,0.7777777777777778,0.9024395959785334,0.8346864166828485,0.11579708891989073,0.08058826098309729
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,a00e91a9bf4225728cadc00f631223b4d641783648030c08193ce37af8b03220,1,XGBoost,885,284,601,542,59,63,221,0.5,0.8621468926553673,0.7892857142857143,0.778169014084507,0.9018302828618968,0.839999648473202,0.8958677685950414,280,0.3163841807909605,1.2669683257918551,0.7836879432624113,0.780367231638418,0.9157214501652177,0.866004406365148,0.10139745280845036,0.03731942515567703
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,a00e91a9bf4225728cadc00f631223b4d641783648030c08193ce37af8b03220,1,Standard TabPFN v2,885,284,601,560,41,78,206,0.5,0.8655367231638418,0.8340080971659919,0.7253521126760564,0.9317803660565723,0.8285662393663143,0.877742946708464,247,0.2790960451977401,1.1990291262135921,0.775894538606403,0.7447577729573391,0.9159411544140048,0.8653955384254116,0.09984998968419825,0.030637954072079653
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,a00e91a9bf4225728cadc00f631223b4d641783648030c08193ce37af8b03220,1,B-TabPFN K=1,885,284,601,513,88,44,240,0.5,0.8508474576271187,0.7317073170731707,0.8450704225352113,0.8535773710482529,0.849323896791732,0.9210053859964094,328,0.3706214689265537,1.3666666666666667,0.7843137254901961,0.819672131147541,0.9137411825361487,0.8523683464295427,0.1102383579620552,0.07509055688640491
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,6b1dc440a535506be3a46e533b95a154dc5c3d33415318a6211df9d010810dc8,7,Logistic Regression,885,284,601,540,61,69,215,0.5,0.8531073446327684,0.7789855072463768,0.7570422535211268,0.8985024958402662,0.8277723746806964,0.8866995073891626,276,0.31186440677966104,1.283720930232558,0.7678571428571429,0.7613314447592068,0.8972194230273488,0.8633439690886926,0.10858681487631161,0.060156902893694505
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,6b1dc440a535506be3a46e533b95a154dc5c3d33415318a6211df9d010810dc8,7,XGBoost,885,284,601,558,43,72,212,0.5,0.8700564971751412,0.8313725490196079,0.7464788732394366,0.9284525790349417,0.8374657261371892,0.8857142857142857,255,0.288135593220339,1.2028301886792452,0.7866419294990723,0.7620416966211359,0.9202327107403154,0.8858083120955826,0.09522349676351316,0.02645953033477236
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,6b1dc440a535506be3a46e533b95a154dc5c3d33415318a6211df9d010810dc8,7,Standard TabPFN v2,885,284,601,575,26,78,206,0.5,0.8824858757062147,0.8879310344827587,0.7253521126760564,0.956738768718802,0.8410454406974293,0.8805513016845329,232,0.2621468926553672,1.1262135922330097,0.7984496124031008,0.7529239766081871,0.912425886433409,0.8858622567848502,0.09394689831202038,0.030177027791065004
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,6b1dc440a535506be3a46e533b95a154dc5c3d33415318a6211df9d010810dc8,7,B-TabPFN K=1,885,284,601,539,62,59,225,0.5,0.8632768361581921,0.7839721254355401,0.7922535211267606,0.8968386023294509,0.8445460617281058,0.9013377926421404,287,0.32429378531073444,1.2755555555555556,0.7880910683012259,0.7905832747716093,0.9116993977174194,0.8828063812294693,0.10297181033504745,0.05994182207863675
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,4fa09d0e253f11464e7e063277ee271dc4170012e7915639c1a2d476cbed8f61,21,Logistic Regression,885,284,601,519,82,55,229,0.5,0.8451977401129943,0.7363344051446945,0.8063380281690141,0.8635607321131448,0.8349493801410794,0.9041811846689896,311,0.35141242937853107,1.3580786026200873,0.7697478991596639,0.7912923289564616,0.9164069274214337,0.8633909994596559,0.11219650917342633,0.09165740126348848
0466d4a7742ee7956bc093d3bc1c23e3cea96216b360f9bdce5799e7cc6df925,4fa09d0e253f11464e7e063277ee271dc4170012e7915639c1a2d476cbed8f61,21,XGBoost,885,284,601,545,56,65,219,0.5,0.8632768361581921,0.7963636363636364,0.7711267605633803,0.9068219633943427,0.8389743619788614,0.8934426229508197,275,0.3107344632768362,1.2557077625570776,0.7835420393559929,0.776045357902197,0.921996203510581,0.8828350227048152,0.10018688265651364,0.04280985292141973
