fold,feature,importance_mean,importance_sd_repeats,positive_importance_share,train_n,validation_n
1,Q1_Academic_Performance,-0.013556821133213487,0.05232801854221133,0.0,302,34
1,Q2_Attendance,0.0,0.0,0.0,302,34
1,Q3_Assignments,0.06631000629165826,0.03396786111831839,0.11970542771887932,302,34
1,Q4_Repeating,0.06224745539150402,0.033429283023454916,0.11237155127504826,302,34
1,Q6_PHQ2_Interest,0.08821101159544383,0.07391362243132613,0.15924198266704104,302,34
1,Q7_PHQ2_Depressed,0.0567875071798008,0.11026486315054755,0.10251503832087766,302,34
1,Q8_GAD2_Nervous,-0.044681392979531366,0.035981718949058626,0.0,302,34
1,Q9_GAD2_Worry,0.1060937978347388,0.08764713465433892,0.1915246907422684,302,34
1,Q10_Financial_Difficulty,-0.03901927656129094,0.03444583626880758,0.0,302,34
1,Q11_Internet_Access,0.04208016264972049,0.04562965589778846,0.0759647623363064,302,34
1,Q12_Outside_Responsibilities,0.05948064907456481,0.07016549647756373,0.10737680384390272,302,34
1,Q14_Year,-0.005527359252520389,0.054951361166558355,0.0,302,34
1,Q16_Belonging,0.02023362761081545,0.04949653564173753,0.03652653924965597,302,34
1,Q13_Faculty,0.052498970707232716,0.07536528310352016,0.09477320384602018,302,34
2,Q1_Academic_Performance,-0.09294611248562532,0.04864302457456727,0.0,302,34
2,Q2_Attendance,0.08543804473145478,0.08749308698255796,0.11273265579402156,302,34
2,Q3_Assignments,0.16995445733648876,0.05501420745846043,0.22424924867832793,302,34
2,Q4_Repeating,0.030474900435306103,0.05156610127355335,0.040210616616155125,302,34
2,Q6_PHQ2_Interest,0.04419107502462869,0.0905791833684894,0.058308652375856196,302,34
2,Q7_PHQ2_Depressed,0.160927393212571,0.0695960978952368,0.21233833807742641,302,34
2,Q8_GAD2_Nervous,-0.027414947999294927,0.04912872359666042,0.0,302,34
2,Q9_GAD2_Worry,0.15885123997860146,0.09663730234916919,0.20959892300026275,302,34
2,Q10_Financial_Difficulty,-0.039309637128251626,0.04295748567565745,0.0,302,34
2,Q11_Internet_Access,-0.02079587519830778,0.0333784208008116,0.0,302,34
2,Q12_Outside_Responsibilities,0.08614182419765387,0.06068935908116091,0.11366126937088064,302,34
2,Q14_Year,-0.0702266912295502,0.0362846799709102,0.0,302,34
2,Q16_Belonging,0.021903012684726227,0.07033644120396065,0.02890029608706948,302,34
2,Q13_Faculty,-0.016945346797277005,0.07529682082607739,0.0,302,34
3,Q1_Academic_Performance,0.013330770360860134,0.03907895246993054,0.0616014068664763,302,34
3,Q2_Attendance,0.001705809673218686,0.06512324203542355,0.007882535882940168,302,34
3,Q3_Assignments,-0.03096450213786952,0.03723037749966439,0.0,302,34
3,Q4_Repeating,0.040311913623919525,0.04917719040304544,0.18628110195374253,302,34
3,Q6_PHQ2_Interest,0.026679260678075696,0.04951706039769129,0.12328469754098156,302,34
3,Q7_PHQ2_Depressed,0.021756864891723123,0.0626310547854381,0.10053833724936459,302,34
3,Q8_GAD2_Nervous,0.01698055410296635,0.032513584775935425,0.07846703482240103,302,34
3,Q9_GAD2_Worry,-0.09573192451493599,0.05300759282736379,0.0,302,34
3,Q10_Financial_Difficulty,0.03062061385198823,0.07034863178678727,0.14149766602654765,302,34
3,Q11_Internet_Access,0.025495467189305808,0.05315989865725005,0.11781439519733711,302,34
3,Q12_Outside_Responsibilities,0.0032714780070871572,0.059766776110192,0.015117479508986302,302,34
3,Q14_Year,-0.02831841060575575,0.039954717671390444,0.0,302,34
3,Q16_Belonging,0.03619843735580915,0.04106038534175093,0.16727275372118683,302,34
3,Q13_Faculty,5.24976318507897e-05,0.08165352382853142,0.00024259123003588523,302,34
4,Q1_Academic_Performance,-0.012515335079997409,0.059361148282808175,0.0,302,34
4,Q2_Attendance,0.04918637915654125,0.03922985454345216,0.18377435923700733,302,34
4,Q3_Assignments,0.012336840054548992,0.02860270454568661,0.04609395761413098,302,34
4,Q4_Repeating,-0.013276836158192095,0.03230235561338489,0.0,302,34
4,Q6_PHQ2_Interest,0.015359294366066251,0.07783628894126751,0.057386710078272174,302,34
4,Q7_PHQ2_Depressed,-0.0012093645525989016,0.07319593256769696,0.0,302,34
4,Q8_GAD2_Nervous,-0.017909269177581268,0.0481791140946577,0.0,302,34
4,Q9_GAD2_Worry,0.026936960458364866,0.03707209947079043,0.10064417696357851,302,34
4,Q10_Financial_Difficulty,-0.04959588690180183,0.07401768201097174,0.0,302,34
4,Q11_Internet_Access,0.02155851712859002,0.06667924211803523,0.08054877670091291,302,34
4,Q12_Outside_Responsibilities,0.03722969023962593,0.03951042791846748,0.13910075483711692,302,34
4,Q14_Year,-0.024547687256677317,0.05147075175322386,0.0,302,34
4,Q16_Belonging,0.052457140074030774,0.06507691298733875,0.1959948560927745,302,34
4,Q13_Faculty,0.05258067248968633,0.062478121435235054,0.19645640847620666,302,34
5,Q1_Academic_Performance,0.070677224870594,0.04970748331038762,0.0663077664946215,302,34
5,Q2_Attendance,0.08965397347530822,0.048454644035075885,0.08411132085902123,302,34
5,Q3_Assignments,0.017847699629825492,0.030913122557085997,0.01674430626962823,302,34
5,Q4_Repeating,0.025626085971141483,0.06267566283796636,0.024041811599941846,302,34
5,Q6_PHQ2_Interest,0.15799008535823872,0.059854638715530054,0.14822270834176526,302,34
5,Q7_PHQ2_Depressed,0.17109185117097958,0.08444531866929647,0.160514487338027,302,34
5,Q8_GAD2_Nervous,0.034300634584875714,0.03678207337542589,0.03218007601225956,302,34
5,Q9_GAD2_Worry,0.06709056264846851,0.06203958934480648,0.06294284149147913,302,34
5,Q10_Financial_Difficulty,0.09708295151395382,0.05805459385509044,0.09108101925878302,302,34
5,Q11_Internet_Access,0.10113696456901108,0.048434212568331185,0.09488440219455993,302,34
5,Q12_Outside_Responsibilities,0.09076641232907756,0.05520652704611977,0.0851549857155622,302,34
5,Q14_Year,0.0536620835536753,0.03855892597933086,0.05034454751734886,302,34
5,Q16_Belonging,0.009040631059404208,0.03040124941293011,0.00848171464497342,302,34
5,Q13_Faculty,0.07992946958441402,0.05627352869112059,0.07498801226202889,302,34
6,Q1_Academic_Performance,0.0020491803278688547,0.0035492844417395063,0.010527979344165803,302,34
6,Q2_Attendance,0.00446853516657853,0.005987537537819919,0.022957787215019596,302,34
6,Q3_Assignments,0.0036753040719196216,0.0047973542863034065,0.018882440372116723,302,34
6,Q4_Repeating,-0.00710235619014043,0.03703236706652721,0.0,302,34
6,Q6_PHQ2_Interest,0.07147814846397307,0.02316688856376642,0.36722998964690706,302,34
6,Q7_PHQ2_Depressed,-0.02168584556147564,0.07507215360454432,0.0,302,34
6,Q8_GAD2_Nervous,0.00803695470964157,0.02281438272482813,0.04129109186847398,302,34
6,Q9_GAD2_Worry,0.034493936693781486,0.040266741083772796,0.17721790906941384,302,34
6,Q10_Financial_Difficulty,0.01548468938077611,0.016606407920144353,0.07955497509639753,302,34
6,Q11_Internet_Access,0.005737704918032794,0.003756209586029381,0.02947834216366425,302,34
6,Q12_Outside_Responsibilities,0.04310903731240799,0.03648044569639517,0.221479314533489,302,34
6,Q14_Year,0.006107879428873614,0.005652386154155891,0.03138017069035224,302,34
6,Q16_Belonging,0.0,0.0,0.0,302,34
6,Q13_Faculty,-0.04770511870136739,0.030105308357638055,0.0,302,34
7,Q1_Academic_Performance,-0.0036488613409620062,0.008053304190839437,0.0,303,33
7,Q2_Attendance,0.05791691018897325,0.03241254374685422,0.05566350129666642,303,33
7,Q3_Assignments,0.11083174402985838,0.045894306433369655,0.10651954511020145,303,33
7,Q4_Repeating,0.20052121097600809,0.0486032118591355,0.1927194087314626,303,33
7,Q6_PHQ2_Interest,-0.05024303294399642,0.060502859929473324,0.0,303,33
7,Q7_PHQ2_Depressed,0.09733087539586152,0.06685640854947117,0.0935439630865305,303,33
7,Q8_GAD2_Nervous,0.04030806853486725,0.038420288931606573,0.03873977768903625,303,33
7,Q9_GAD2_Worry,0.16303885843667132,0.08110554444888854,0.1566954051655281,303,33
7,Q10_Financial_Difficulty,0.034011991551057635,0.040100521677634275,0.03268866604981551,303,33
7,Q11_Internet_Access,0.034738713381935245,0.03613857484722484,0.03338711286687436,303,33
7,Q12_Outside_Responsibilities,0.057460186849355964,0.03185706240394897,0.0552245479732924,303,33
7,Q14_Year,0.0527551344755811,0.07726122260261134,0.05070255796978625,303,33
7,Q16_Belonging,0.12318374472124201,0.03794464803357693,0.11839095890382197,303,33
7,Q13_Faculty,0.06838526268675875,0.07267703219505009,0.06572455515698414,303,33
8,Q1_Academic_Performance,0.08659995906867801,0.048353533941089454,0.08281556064502021,303,33
8,Q2_Attendance,-0.03381724627097444,0.032237916317221706,0.0,303,33
8,Q3_Assignments,0.023462013044244688,0.034048161916851255,0.022436728435160015,303,33
8,Q4_Repeating,0.04425047137443029,0.037442047733118315,0.04231673588637188,303,33
8,Q6_PHQ2_Interest,0.1175911220882854,0.06268840139805051,0.11245241692199147,303,33
8,Q7_PHQ2_Depressed,0.21040724495426427,0.054802488454365125,0.20121249642673183,303,33
8,Q8_GAD2_Nervous,0.07232426420720213,0.06677231798921894,0.06916371038706827,303,33
8,Q9_GAD2_Worry,0.1117837233085246,0.06566616152525173,0.10689880014194558,303,33
8,Q10_Financial_Difficulty,0.061936559438553765,0.03445919940847354,0.059229945943272945,303,33
8,Q11_Internet_Access,0.09132283362531612,0.06739677006333736,0.0873320466626857,303,33
8,Q12_Outside_Responsibilities,0.02362449432097228,0.04404423039341393,0.022592109317220742,303,33
8,Q14_Year,0.04094678330599602,0.04479543091255526,0.03915741823165252,303,33
8,Q16_Belonging,0.0938315789915473,0.05956874603353199,0.08973116042964792,303,33
8,Q13_Faculty,0.06761565943888098,0.03943840745887916,0.06466087057123089,303,33
9,Q1_Academic_Performance,-0.07029514903565166,0.049073130054903734,0.0,303,33
9,Q2_Attendance,-0.02235534774985388,0.03414835775025537,0.0,303,33
9,Q3_Assignments,0.04242286751361162,0.0383729274746201,0.14212627187719443,303,33
9,Q4_Repeating,-0.0006575102279368749,0.017566906571255873,0.0,303,33
9,Q6_PHQ2_Interest,-0.012188745034841502,0.052044934215716564,0.0,303,33
9,Q7_PHQ2_Depressed,0.09228115351073607,0.07443648688927998,0.30916288977400647,303,33
9,Q8_GAD2_Nervous,0.013989715668481534,0.036710805797187544,0.04686873493276459,303,33
9,Q9_GAD2_Worry,0.11288419476940345,0.07087221026479934,0.3781877722265392,303,33
9,Q10_Financial_Difficulty,-0.02133127236560133,0.032396846456861715,0.0,303,33
9,Q11_Internet_Access,-0.05657704793645206,0.05816193749410139,0.0,303,33
9,Q12_Outside_Responsibilities,-0.0581146759358947,0.04744532917401817,0.0,303,33
9,Q14_Year,0.036909230364312026,0.0583954396870134,0.12365433118949526,303,33
9,Q16_Belonging,-0.02446476525482202,0.09973897459259949,0.0,303,33
9,Q13_Faculty,-0.016046508732380338,0.049649118579107636,0.0,303,33
10,Q1_Academic_Performance,0.001907814407814401,0.020840966686696168,0.0034082330668308253,303,33
10,Q2_Attendance,0.0020815122377622454,0.005387529272954052,0.003718537195597313,303,33
10,Q3_Assignments,-0.0010981206293706302,0.004674157085008714,0.0,303,33
10,Q4_Repeating,0.16918959736500055,0.04323282979311905,0.3022503540917203,303,33
10,Q6_PHQ2_Interest,0.06182231425736846,0.04317560107096921,0.11044305717417985,303,33
10,Q7_PHQ2_Depressed,0.08918571469333134,0.09081248578537816,0.15932666231144352,303,33
10,Q8_GAD2_Nervous,0.017097309612430573,0.035978754895465155,0.030543650229419628,303,33
10,Q9_GAD2_Worry,0.030732053151986377,0.057263073815688514,0.05490156659640456,303,33
10,Q10_Financial_Difficulty,0.048109243613854255,0.038748579904454274,0.08594521261258298,303,33
10,Q11_Internet_Access,0.0644764957264957,0.050563966172602566,0.11518464472661494,303,33
10,Q12_Outside_Responsibilities,0.04919285601421794,0.05258139688961431,0.08788104221918416,303,33
10,Q14_Year,0.010421089327339322,0.030434119275016457,0.018616853448824015,303,33
10,Q16_Belonging,-0.0006392045454545414,0.008576439683251814,0.0,303,33
10,Q13_Faculty,0.015550415328866807,0.04227553435028326,0.027780186327197906,303,33
