prevalence_condition,context_n_mean,context_n_min,context_n_max,realized_prevalence_mean,recall_mean,recall_sd,f2_mean,brier_mean,accuracy_mean,precision_mean,f1_mean,average_precision_mean,auc_roc_mean,ece_mean,evaluations
0.4,285.6,285,287,0.40020905923344946,0.5401282051282051,0.14092933536748672,0.5554869713980173,0.19158997865437108,0.713065953654189,0.6474064824064825,0.5830885906364167,0.6736205345202622,0.7473235653235654,0.16301921822170523,50
0.5,228.6,228,230,0.5,0.6933333333333332,0.1590317413023079,0.6676259622813306,0.2025929711872694,0.7019786096256685,0.5942999522836984,0.635297667852613,0.6762855657441199,0.7488058608058609,0.19052101845011354,50
natural,302.4,302,303,0.37797521474001705,0.5019230769230769,0.1320921098477868,0.5232504333850665,0.19167440352028453,0.7105347593582888,0.6536643356643357,0.561701023614067,0.670225832991979,0.7457484737484738,0.1697480454313139,50
