model,order,feature_i,feature_j,mean_signed_fsii,sd_signed_fsii,mean_abs_fsii,sd_abs_fsii,positive_direction_fraction,explained_students,signed_ci_low,signed_ci_high,direction,budget,explanation_scale,uncertainty_role,feature_i_construct,feature_j_construct
B-TabPFN K=1,2,Q11_Internet_Access,Q13_Faculty,0.0005684561,0.0061345846,0.0043764846,0.0042655854,0.5625,32,-0.0016432975,0.0027802097,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Institutional and programme context
B-TabPFN K=1,2,Q11_Internet_Access,Q14_Year,0.0001742268,0.0048181028,0.0038442535,0.0028267376,0.5625,32,-0.0015628845,0.0019113381,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Institutional and programme context
B-TabPFN K=1,2,Q11_Internet_Access,Q16_Belonging,-0.001888817,0.0037145368,0.0029883046,0.0028744512,0.34375,32,-0.0032280503,-0.0005495837,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Social and institutional integration
B-TabPFN K=1,2,Q12_Outside_Responsibilities,Q13_Faculty,-0.0025350592,0.007428033,0.005965889,0.0050069502,0.28125,32,-0.0052131506,0.0001430323,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Institutional and programme context
B-TabPFN K=1,2,Q12_Outside_Responsibilities,Q14_Year,0.0003810719,0.0056039252,0.0046550792,0.0030306916,0.5625,32,-0.0016393586,0.0024015024,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Institutional and programme context
B-TabPFN K=1,2,Q12_Outside_Responsibilities,Q16_Belonging,-0.0002036693,0.0043787735,0.0036836154,0.0022824864,0.46875,32,-0.0017823855,0.0013750469,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Social and institutional integration
B-TabPFN K=1,2,Q14_Year,Q13_Faculty,-0.0009905912,0.006711431,0.0052160094,0.0042393206,0.46875,32,-0.0034103201,0.0014291377,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Institutional and programme context,Institutional and programme context
B-TabPFN K=1,2,Q14_Year,Q16_Belonging,0.000148646,0.0089179765,0.0067774587,0.0056689881,0.5,32,-0.0030666274,0.0033639194,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Institutional and programme context,Social and institutional integration
B-TabPFN K=1,2,Q16_Belonging,Q13_Faculty,-0.0027918002,0.0106458404,0.0083425156,0.0070382413,0.3125,32,-0.0066300349,0.0010464346,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Social and institutional integration,Institutional and programme context
B-TabPFN K=1,2,Q1_Academic_Performance,Q10_Financial_Difficulty,-0.0001883695,0.0042528549,0.0032122297,0.0027335198,0.4375,32,-0.0017216872,0.0013449482,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Structural and contextual barriers
