model,operating_point,selection_data,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
Standard TabPFN v2,fixed_0.50,prespecified,85,32,53,43,10,13,19,0.5,0.7294117647058823,0.6551724137931034,0.59375,0.8113207547169812,0.7025353773584906,0.7678571428571429,29,0.3411764705882353,1.5263157894736843,0.6229508196721312,0.6050955414012739,0.7458726415094339,0.6536467969563198,0.19102874064196806,0.09749965702786166
Standard TabPFN v2,development_selected,development OOF only,85,32,53,8,45,1,31,0.12,0.4588235294117647,0.40789473684210525,0.96875,0.1509433962264151,0.5598466981132075,0.8888888888888888,76,0.8941176470588236,2.4516129032258065,0.5740740740740741,0.7598039215686274,0.7458726415094339,0.6536467969563198,0.19102874064196806,0.09749965702786166
B-TabPFN K=1,fixed_0.50,prespecified,85,32,53,38,15,9,23,0.5,0.7176470588235294,0.6052631578947368,0.71875,0.7169811320754716,0.7178655660377358,0.8085106382978723,38,0.4470588235294118,1.6521739130434783,0.6571428571428571,0.6927710843373494,0.742629716981132,0.6179383669316747,0.21108601782869701,0.12664767977069408
B-TabPFN K=1,development_selected,development OOF only,85,32,53,16,37,3,29,0.26,0.5294117647058824,0.4393939393939394,0.90625,0.3018867924528302,0.6040683962264151,0.8421052631578947,66,0.7764705882352941,2.2758620689655173,0.5918367346938775,0.7474226804123711,0.742629716981132,0.6179383669316747,0.21108601782869701,0.12664767977069408
