feature,false_negative_n_observed,true_positive_n_observed,false_negative_mean,true_positive_mean,hedges_g_fn_minus_tp,hedges_g_bootstrap_ci_low,hedges_g_bootstrap_ci_high,hedges_g_familywise_ci_low,hedges_g_familywise_ci_high,familywise_method,analysis_role
Q1_Academic_Performance,9,23,2.888888888888889,2.4782608695652173,0.6169537616969337,-0.09013475461314403,1.4760264027825736,-0.3500199232186133,1.9229696949529924,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q2_Attendance,9,23,2.6666666666666665,1.826086956521739,0.9723361579364406,0.28660131585696513,1.8832981487337408,-0.04478901590742597,2.4183488724969338,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q3_Assignments,9,22,2.888888888888889,2.590909090909091,0.44730141556142394,-0.06439678452607508,0.9211948887458488,-0.48213565704372,1.0886111995193846,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q4_Repeating,9,23,0.1111111111111111,0.2608695652173913,-0.34654319813586476,-0.8926166306396688,0.36957216345622007,-1.1793895193280886,0.7789782165818819,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q6_PHQ2_Interest,9,23,0.4444444444444444,1.608695652173913,-1.140608478812029,-1.814039735031246,-0.6279836616466525,-2.2694476384110893,-0.38070842533654775,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q7_PHQ2_Depressed,9,23,0.1111111111111111,1.7826086956521738,-1.8689237453981842,-2.7011541799167573,-1.3489503606367497,-3.38024371570607,-1.086000052442943,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q8_GAD2_Nervous,9,23,0.6666666666666666,1.6956521739130435,-0.8812032125982256,-1.789134911939524,-0.16820024576658252,-2.316764856480751,0.12174416603340156,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q9_GAD2_Worry,9,23,0.2222222222222222,1.7391304347826086,-1.7270901362676028,-2.393151648606817,-1.2544799693430506,-2.797499480971687,-1.080951543901351,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q10_Financial_Difficulty,9,23,0.6666666666666666,1.5217391304347827,-0.7431536779743874,-1.6051737088181828,-0.03340136314756212,-2.0272176038037357,0.3409015875927434,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q11_Internet_Access,9,23,2.0,1.826086956521739,0.17770019592655914,-0.5967840549251341,0.8404778179219009,-0.9946611033964263,1.1041620817992142,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q12_Outside_Responsibilities,9,23,0.5555555555555556,0.6956521739130435,-0.17118906204250606,-1.0293918986563775,0.5961388947603689,-1.4220529797025405,0.9316277918485045,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q14_Year,9,23,1.8888888888888888,2.6956521739130435,-0.6831294934920009,-1.5845109703888953,0.07850809880735507,-2.0995708507154256,0.40813261137111356,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
Q16_Belonging,9,23,3.2222222222222223,2.347826086956522,1.0243086248040227,0.10208453512621479,2.339180706252975,-0.22780250453705186,3.03723407818532,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence
