K,recall_mean,recall_sd,f2_mean,f2_sd,accuracy_mean,precision_mean,f1_mean,average_precision_mean,auc_roc_mean,brier_mean,ece_mean,outer_folds,within_one_se_of_best_f2,primary_selected,best_mean_f2_sensitivity_selected,primary_selection_rule,best_mean_k_reporting_rule
1,0.6878205128,0.1600154884,0.6608587846,0.145999648,0.691087344,0.5778952094,0.6257172683,0.6726279337,0.7469688645,0.2010171269,0.1838145544,10,True,True,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity"
5,0.6711538462,0.1516356508,0.6513627287,0.1352625605,0.6999108734,0.5928826729,0.6259551109,0.6706130802,0.7477045177,0.2003623418,0.1755944767,10,True,False,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity"
10,0.6788461538,0.1630231258,0.6583000652,0.1428227572,0.7059714795,0.5987256603,0.632208901,0.6763470921,0.7487362637,0.2008650161,0.1887701958,10,True,False,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity"
15,0.6871794872,0.1596941704,0.6652564257,0.1392666395,0.708912656,0.6027000193,0.6376220065,0.6746855783,0.7488278388,0.2009653158,0.1952214702,10,True,False,True,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity"
20,0.6794871795,0.1485311726,0.659320812,0.1318169941,0.7058823529,0.6006532357,0.6335897484,0.6718559448,0.7466544567,0.2010248323,0.1970103377,10,True,False,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity"
