component,status,duration_seconds
environment_verification,completed,0.03426713899989409
environment_integration_probe,completed,3.7009977550001167
persistent_checkpoint_preflight,completed,1.313325950000035
raw_data_provenance,completed,0.009283293999942543
duplicate_and_sampling_audit,completed,0.01129138000032981
schema_mapping,completed,0.014560602000074141
descriptive_measurement,completed,0.06004328799963332
instrument_inventory,completed,0.022243543000058708
missingness_attrition,completed,0.03575297999987015
missingness_attrition_outputs,completed,0.11791854000011881
common_method_diagnostic,completed,0.047458060000280966
population_comparison,completed,0.09406021499989947
heldout_partition,completed,0.018142788999739423
permutation_diagnostic,completed,85.08839156500017
nested_model_evaluation,completed,0.1267783469997994
k_selection_inference,completed,0.13667186200018477
oof_evidence,completed,0.10156768100023328
nested_feature_selection_sensitivity,completed,497.7091265270001
threshold_analysis,completed,2.5231888379998964
heldout_test_evaluation,completed,27.024353110999982
heldout_feature_selection_sensitivity,completed,1.2605326040002183
computational_latency,completed,22.013086204000047
complete_case_sensitivity,completed,1.3536439210001845
calibration_diagnosis,completed,1.4436688229998254
recalibration_operational,completed,2.183610365000277
paired_test,completed,0.0027278029997432895
threshold_tuned_paired_test,completed,0.0024713739999242534
stability_inference,completed,4.916692878000049
mechanism_ablation,completed,12.528094333999888
false_negative_profile,completed,2.6896752269999524
performance_mechanism_diagnostic,completed,0.059287326999765355
fairness_analysis,completed,2.6280529460000253
traceability_source,completed,0.002137605999905645
traceability_translation,completed,0.004364447000170912
internet_sensitivity,completed,1.3421387560001676
uci_robustness,completed,0.7107601620000423
fsii_protocol_setup,completed,0.674876083000072
fsii_pilot_checkpoint_validation,completed,1.3829542240000592
fsii_convergence_pilot,completed,3.140433579999808
fsii_primary_checkpoint_validation,completed,11.800240063999809
population_fsii,completed,10.316141731999778
fsii_theory_checkpoint_validation,completed,1.4059263220001412
theory_attribution_sensitivity,completed,11.850136636000116
secondary_outcome,completed,1.33476653300022
decision_provenance,completed,0.0247035339998547
publication_sources,completed,0.08166103599978669
publication_diagrams,completed,1.8684070149997751
publication_figures_part1,completed,7.6724391630000355
publication_figures_part2,completed,8.346712123000088
publication_figures_part3,completed,12.633127417000196
population_comparison_figures,completed,1.123940230000244
publication_package,completed,0.42548180699986915
deployment_handoff,completed,0.001307420999637543
