K,recall_mean,recall_sd,f2_mean,f2_sd,accuracy_mean,precision_mean,f1_mean,average_precision_mean,auc_roc_mean,brier_mean,ece_mean,outer_folds,within_one_se_of_best_f2,primary_selected,best_mean_f2_sensitivity_selected,primary_selection_rule,best_mean_k_reporting_rule,observed_warm_batch_seconds,observed_batch_n,recall_difference_vs_k1,f2_difference_vs_k1,decision_role
1,0.6878205128205128,0.1600154884204767,0.6608587846225117,0.14599964803714288,0.6910873440285206,0.5778952093657976,0.6257172682712171,0.6726279337088668,0.7469688644688646,0.20101712686840284,0.1838145543640204,10,True,True,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",0.42443907999995645,85.0,0.0,0.0,primary_one_se_model
5,0.6711538461538462,0.1516356507867607,0.6513627287034323,0.13526256048887514,0.6999108734402852,0.5928826728826728,0.6259551108883701,0.6706130801981953,0.7477045177045177,0.20036234177964704,0.17559447674323106,10,True,False,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",,,-0.016666666666666607,-0.009496055919079427,candidate
10,0.6788461538461539,0.1630231258359034,0.6583000651857116,0.14282275717842874,0.7059714795008912,0.5987256603046076,0.6322089010439835,0.6763470921027739,0.7487362637362638,0.20086501614200922,0.1887701958364769,10,True,False,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",,,-0.008974358974358942,-0.002558719436800083,candidate
15,0.6871794871794872,0.15969417042062192,0.6652564256512934,0.1392666394808845,0.7089126559714795,0.6027000192789667,0.6376220064570889,0.6746855782744487,0.7488278388278389,0.20096531579095017,0.1952214702100571,10,True,False,True,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",,,-0.0006410256410256387,0.004397641028781707,best_mean_f2_sensitivity
20,0.6794871794871795,0.14853117262378435,0.6593208119692008,0.1318169940689841,0.7058823529411764,0.6006532356532357,0.6335897483925728,0.671855944805649,0.7466544566544566,0.2010248323182668,0.19701033773800483,10,True,False,False,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",,,-0.008333333333333304,-0.001537972653310904,candidate
