model,selected_threshold,selection_data,selection_rule,grid_minimum,grid_maximum,selected_at_lower_boundary,selected_at_upper_boundary,analysis_role,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
Standard TabPFN v2,0.12,nested development out-of-fold predictions only,"maximum development-OOF F2, then recall, then proximity to 0.50, then lower threshold",0.01,0.99,False,False,secondary matched-threshold comparator,336,127,209,28,181,3,124,0.12,0.4523809523809524,0.4065573770491803,0.9763779527559056,0.1339712918660287,0.5551746223109671,0.9032258064516129,305,0.9077380952380952,2.4596774193548385,0.5740740740740741,0.7626076260762608,0.7525336246844743,0.6394063959069594,0.19189386486559362,0.05471696409707267
B-TabPFN K=1 fixed-K development OOF,0.26,nested development out-of-fold predictions only,"maximum development-OOF F2, then recall, then proximity to 0.50, then lower threshold",0.01,0.99,False,False,secondary operating-point sensitivity,336,127,209,68,141,9,118,0.26,0.5535714285714286,0.4555984555984556,0.9291338582677166,0.3253588516746411,0.6272463549711789,0.8831168831168831,259,0.7708333333333334,2.194915254237288,0.6113989637305699,0.7692307692307693,0.7513845458312925,0.6426317015698367,0.2012871093828989,0.09598138994936432
