partition,role,model,selected_features_json,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
held_out_test,secondary_training_only_feature_selection_sensitivity,Standard TabPFN training-selected features,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",85,32,53,42,11,13,19,0.5,0.7176470588,0.6333333333,0.59375,0.7924528302,0.6931014151,0.7636363636,30,0.3529411765,1.5789473684,0.6129032258,0.6012658228,0.7373231132,0.6209817386,0.1965091955,0.0996088075
held_out_test,secondary_training_only_feature_selection_sensitivity,B-TabPFN K=1 training-selected features,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",85,32,53,38,15,10,22,0.5,0.7058823529,0.5945945946,0.6875,0.7169811321,0.702240566,0.7916666667,37,0.4352941176,1.6818181818,0.6376811594,0.6666666667,0.7314268868,0.6240443865,0.2151083007,0.1428677415
