model,curve,x,y,threshold
B-TabPFN nested K,PR,0.8582677165354331,0.48878923766816146,0.33056640625
B-TabPFN nested K,PR,0.8582677165354331,0.49099099099099097,0.3310546875
B-TabPFN nested K,PR,0.8582677165354331,0.49321266968325794,0.3344210088253021
B-TabPFN nested K,PR,0.8582677165354331,0.4954545454545455,0.33479854464530945
B-TabPFN nested K,PR,0.8582677165354331,0.4977168949771689,0.33772894740104675
B-TabPFN nested K,PR,0.8503937007874016,0.4954128440366973,0.3385404050350189
B-TabPFN nested K,PR,0.8503937007874016,0.4976958525345622,0.33935546875
B-TabPFN nested K,PR,0.8503937007874016,0.5,0.3401659429073334
B-TabPFN nested K,PR,0.8503937007874016,0.5023255813953489,0.34163615107536316
B-TabPFN nested K,PR,0.8503937007874016,0.5046728971962616,0.3424457013607025
B-TabPFN nested K,PR,0.84251968503937,0.5023474178403756,0.34586283564567566
B-TabPFN nested K,PR,0.84251968503937,0.5047169811320755,0.34716796875
B-TabPFN nested K,PR,0.84251968503937,0.5071090047393365,0.3503853976726532
B-TabPFN nested K,PR,0.8346456692913385,0.5047619047619047,0.3523809611797333
B-TabPFN nested K,PR,0.8346456692913385,0.507177033492823,0.35888671875
B-TabPFN nested K,PR,0.8346456692913385,0.5096153846153846,0.3595137894153595
B-TabPFN nested K,PR,0.8346456692913385,0.5120772946859904,0.3601953685283661
B-TabPFN nested K,PR,0.8267716535433071,0.5097087378640777,0.3603515625
B-TabPFN nested K,PR,0.8267716535433071,0.5121951219512195,0.36050769686698914
B-TabPFN nested K,PR,0.8267716535433071,0.5147058823529411,0.36328125
B-TabPFN nested K,PR,0.8188976377952756,0.5123152709359606,0.3681640625
B-TabPFN nested K,PR,0.8188976377952756,0.5148514851485149,0.3726215958595276
B-TabPFN nested K,PR,0.8188976377952756,0.5174129353233831,0.37368807196617126
B-TabPFN nested K,PR,0.8188976377952756,0.52,0.37435898184776306
B-TabPFN nested K,PR,0.8188976377952756,0.5226130653266332,0.3828125
B-TabPFN nested K,PR,0.8188976377952756,0.5252525252525253,0.3836385905742645
B-TabPFN nested K,PR,0.8110236220472441,0.5228426395939086,0.3935546875
B-TabPFN nested K,PR,0.8031496062992126,0.5204081632653061,0.39446204900741577
B-TabPFN nested K,PR,0.7952755905511811,0.517948717948718,0.3976080119609833
B-TabPFN nested K,PR,0.7874015748031497,0.5154639175257731,0.39829060435295105
B-TabPFN nested K,PR,0.7874015748031497,0.5181347150259067,0.40527358651161194
B-TabPFN nested K,PR,0.7874015748031497,0.5208333333333334,0.40576171875
B-TabPFN nested K,PR,0.7874015748031497,0.5235602094240838,0.40625
B-TabPFN nested K,PR,0.7874015748031497,0.5263157894736842,0.40708181262016296
B-TabPFN nested K,PR,0.7874015748031497,0.5291005291005291,0.4075702130794525
B-TabPFN nested K,PR,0.7795275590551181,0.526595744680851,0.408654123544693
B-TabPFN nested K,PR,0.7795275590551181,0.5294117647058824,0.40932390093803406
B-TabPFN nested K,PR,0.7716535433070866,0.5268817204301075,0.40966796875
B-TabPFN nested K,PR,0.7716535433070866,0.5297297297297298,0.4111328125
B-TabPFN nested K,PR,0.7716535433070866,0.532608695652174,0.4139194190502167
B-TabPFN nested K,PR,0.7637795275590551,0.5300546448087432,0.4150390625
B-TabPFN nested K,PR,0.7637795275590551,0.532967032967033,0.41552734375
B-TabPFN nested K,PR,0.7559055118110236,0.5303867403314917,0.41676774621009827
B-TabPFN nested K,PR,0.7559055118110236,0.5333333333333333,0.4178266227245331
B-TabPFN nested K,PR,0.7559055118110236,0.5363128491620112,0.419921875
B-TabPFN nested K,PR,0.7559055118110236,0.5393258426966292,0.421875
B-TabPFN nested K,PR,0.7559055118110236,0.5423728813559322,0.4228515625
B-TabPFN nested K,PR,0.7559055118110236,0.5454545454545454,0.42689773440361023
B-TabPFN nested K,PR,0.7480314960629921,0.5428571428571428,0.4285714328289032
B-TabPFN nested K,PR,0.7480314960629921,0.5459770114942529,0.4305926263332367
B-TabPFN nested K,PR,0.7480314960629921,0.5491329479768786,0.435546875
B-TabPFN nested K,PR,0.7480314960629921,0.5523255813953488,0.4366609752178192
B-TabPFN nested K,PR,0.7401574803149606,0.5497076023391813,0.43701171875
B-TabPFN nested K,PR,0.7322834645669292,0.5470588235294118,0.4444715678691864
B-TabPFN nested K,PR,0.7322834645669292,0.5502958579881657,0.4451770484447479
B-TabPFN nested K,PR,0.7322834645669292,0.5535714285714286,0.44970703125
B-TabPFN nested K,PR,0.7244094488188977,0.5508982035928144,0.45654296875
B-TabPFN nested K,PR,0.7244094488188977,0.5542168674698795,0.45849609375
B-TabPFN nested K,PR,0.7244094488188977,0.5575757575757576,0.46045008301734924
B-TabPFN nested K,PR,0.7244094488188977,0.5609756097560976,0.46178266406059265
B-TabPFN nested K,PR,0.7244094488188977,0.5644171779141104,0.4657222628593445
B-TabPFN nested K,PR,0.7244094488188977,0.5679012345679012,0.47014474868774414
B-TabPFN nested K,PR,0.7165354330708661,0.5652173913043478,0.4710213243961334
B-TabPFN nested K,PR,0.7165354330708661,0.56875,0.4744870066642761
B-TabPFN nested K,PR,0.7165354330708661,0.5723270440251572,0.47473761439323425
B-TabPFN nested K,PR,0.7086614173228346,0.569620253164557,0.478515625
B-TabPFN nested K,PR,0.7086614173228346,0.5732484076433121,0.4793650805950165
B-TabPFN nested K,PR,0.7007874015748031,0.5705128205128205,0.48271793127059937
B-TabPFN nested K,PR,0.7007874015748031,0.5741935483870968,0.48405569791793823
B-TabPFN nested K,PR,0.7007874015748031,0.577922077922078,0.48486328125
B-TabPFN nested K,PR,0.6929133858267716,0.5751633986928104,0.48513078689575195
B-TabPFN nested K,PR,0.6850393700787402,0.5723684210526315,0.48782458901405334
B-TabPFN nested K,PR,0.6850393700787402,0.5761589403973509,0.4956538677215576
B-TabPFN nested K,PR,0.6850393700787402,0.58,0.49853515625
B-TabPFN nested K,PR,0.6850393700787402,0.5838926174496645,0.49939069151878357
B-TabPFN nested K,PR,0.6850393700787402,0.5878378378378378,0.49953994154930115
B-TabPFN nested K,PR,0.6771653543307087,0.5850340136054422,0.5002933740615845
B-TabPFN nested K,PR,0.6771653543307087,0.589041095890411,0.50146484375
B-TabPFN nested K,PR,0.6692913385826772,0.5862068965517241,0.50341796875
B-TabPFN nested K,PR,0.6692913385826772,0.5902777777777778,0.5042714476585388
B-TabPFN nested K,PR,0.6614173228346457,0.5874125874125874,0.5054945349693298
B-TabPFN nested K,PR,0.6614173228346457,0.5915492957746479,0.505859375
B-TabPFN nested K,PR,0.6614173228346457,0.5957446808510638,0.5133089423179626
B-TabPFN nested K,PR,0.6614173228346457,0.6,0.51611328125
B-TabPFN nested K,PR,0.6614173228346457,0.60431654676259,0.5235653519630432
B-TabPFN nested K,PR,0.6614173228346457,0.6086956521739131,0.5255189538002014
B-TabPFN nested K,PR,0.6614173228346457,0.6131386861313869,0.52880859375
