feature,count,mean,std,min,max
Q1_Academic_Performance,421.0,2.807600950118765,0.8185580774107213,0.0,4.0
Q2_Attendance,421.0,2.498812351543943,0.7795746797907727,0.0,3.0
Q3_Assignments,408.0,2.715686274509804,0.5542323372414045,1.0,3.0
Q4_Repeating,421.0,0.09263657957244656,0.29026741938079587,0.0,1.0
Q6_PHQ2_Interest,421.0,1.0285035629453683,1.0019718145981846,0.0,3.0
Q7_PHQ2_Depressed,421.0,0.9168646080760094,1.0024853178863824,0.0,3.0
Q8_GAD2_Nervous,421.0,0.8883610451306413,0.9853123376216208,0.0,3.0
Q9_GAD2_Worry,421.0,0.8764845605700713,1.0018758562360275,0.0,3.0
Q10_Financial_Difficulty,421.0,1.0855106888361046,1.012918479305621,0.0,3.0
Q11_Internet_Access,421.0,1.9216152019002375,0.9289180876065621,0.0,3.0
Q12_Outside_Responsibilities,421.0,0.5866983372921615,0.7401504201831082,0.0,2.0
Q14_Year,421.0,2.513064133016627,1.208283066870789,1.0,5.0
Q16_Belonging,421.0,2.98812351543943,0.9166977712175544,0.0,4.0
