feature,Q1_Academic_Performance,Q2_Attendance,Q3_Assignments,Q4_Repeating,Q6_PHQ2_Interest,Q7_PHQ2_Depressed,Q8_GAD2_Nervous,Q9_GAD2_Worry,Q10_Financial_Difficulty,Q11_Internet_Access,Q12_Outside_Responsibilities,Q14_Year,Q16_Belonging
Q1_Academic_Performance,1.0,0.16407698449483385,0.14473357146138535,-0.0959638105014815,-0.12724458713106948,-0.2133092333557776,-0.15982920281834334,-0.25636361133520935,-0.03481797260338839,0.09789334605799334,-0.09166321330227965,0.11565568212068736,0.2344895578815689
Q2_Attendance,0.16407698449483385,1.0,0.28249845588032735,-0.16495137002550267,-0.08008518654546311,-0.16937472683242086,-0.061603044177409014,-0.1113329850223521,-0.20553154402790527,0.04787203925203049,-0.2287820416625758,-0.12355675324533953,0.17213231455598543
Q3_Assignments,0.14473357146138535,0.28249845588032735,1.0,-0.17878730135467819,-0.10975602384982813,-0.1413968465521705,-0.13213656256400966,-0.13966340752509412,-0.1814845438752452,0.11600902942265993,-0.181031930007059,-0.13707114675704002,0.19831544051734112
Q4_Repeating,-0.0959638105014815,-0.16495137002550267,-0.17878730135467819,1.0,0.02076443304397263,0.07280069228339073,0.028835853148399957,0.08715149702178407,0.13693705233669032,0.03815473916771583,0.17779803258210838,-0.012340066050407928,-0.1473175948199137
Q6_PHQ2_Interest,-0.12724458713106948,-0.08008518654546311,-0.10975602384982813,0.02076443304397263,1.0,0.44770379767068574,0.4191797116879496,0.36970014610604474,0.12278768639847287,-0.13700323203412568,0.09368362425200205,0.08249791292789221,-0.1908680049097903
Q7_PHQ2_Depressed,-0.2133092333557776,-0.16937472683242086,-0.1413968465521705,0.07280069228339073,0.44770379767068574,1.0,0.6059044064958995,0.6432946129003149,0.181267520407384,-0.041361490601742136,0.16516425666988374,0.07305066543507614,-0.22838448405323136
Q8_GAD2_Nervous,-0.15982920281834334,-0.061603044177409014,-0.13213656256400966,0.028835853148399957,0.4191797116879496,0.6059044064958995,1.0,0.6353455457106431,0.09971442114124371,-0.07889557863111273,0.029500768250572657,0.0198632533124463,-0.25948316732099724
Q9_GAD2_Worry,-0.25636361133520935,-0.1113329850223521,-0.13966340752509412,0.08715149702178407,0.36970014610604474,0.6432946129003149,0.6353455457106431,1.0,0.14670855769937505,-0.05153453428922099,0.08627888568645423,-0.015212445494577873,-0.23771483139083718
Q10_Financial_Difficulty,-0.03481797260338839,-0.20553154402790527,-0.1814845438752452,0.13693705233669032,0.12278768639847287,0.181267520407384,0.09971442114124371,0.14670855769937505,1.0,-0.13348914764924985,0.39131410536654304,0.06990491521801595,-0.0736829849528513
Q11_Internet_Access,0.09789334605799334,0.04787203925203049,0.11600902942265993,0.03815473916771583,-0.13700323203412568,-0.041361490601742136,-0.07889557863111273,-0.05153453428922099,-0.13348914764924985,1.0,-0.068259403934963,0.07807747779436604,0.1321283163674079
Q12_Outside_Responsibilities,-0.09166321330227965,-0.2287820416625758,-0.181031930007059,0.17779803258210838,0.09368362425200205,0.16516425666988374,0.029500768250572657,0.08627888568645423,0.39131410536654304,-0.068259403934963,1.0,0.13170853335379074,-0.11119448769114514
Q14_Year,0.11565568212068736,-0.12355675324533953,-0.13707114675704002,-0.012340066050407928,0.08249791292789221,0.07305066543507614,0.0198632533124463,-0.015212445494577873,0.06990491521801595,0.07807747779436604,0.13170853335379074,1.0,-0.016001938700164763
Q16_Belonging,0.2344895578815689,0.17213231455598543,0.19831544051734112,-0.1473175948199137,-0.1908680049097903,-0.22838448405323136,-0.25948316732099724,-0.23771483139083718,-0.0736829849528513,0.1321283163674079,-0.11119448769114514,-0.016001938700164763,1.0
