model,recall,precision,f2,tp,fp,fn,referral_n,referral_rate,reviews_per_detected_positive,auc_roc,brier
Gaussian Naive Bayes,0.96875,0.38271604938271603,0.7416267942583732,31,50,1,81,0.9529411764705882,2.6129032258064515,0.7382075471698113,0.5424345782853024
B-TabPFN K=1,0.71875,0.6052631578947368,0.6927710843373494,23,15,9,38,0.4470588235294118,1.6521739130434783,0.742629716981132,0.21108601782869701
Logistic Regression,0.71875,0.575,0.6845238095238095,23,17,9,40,0.47058823529411764,1.7391304347826086,0.7370283018867925,0.22101325742690617
XGBoost,0.625,0.5555555555555556,0.6097560975609756,20,16,12,36,0.4235294117647059,1.8,0.6798349056603773,0.23356488327059094
Standard TabPFN v2,0.59375,0.6551724137931034,0.6050955414012739,19,10,13,29,0.3411764705882353,1.5263157894736843,0.7458726415094339,0.19102874064196806
Random Forest,0.59375,0.59375,0.59375,19,13,13,32,0.3764705882352941,1.6842105263157894,0.7134433962264152,0.21097508909531376
KNN,0.5,0.5517241379310345,0.5095541401273885,16,13,16,29,0.3411764705882353,1.8125,0.6518278301886793,0.2601307189542484
