n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,selected,analysis_role
336,127,209,1,208,1,126,0.01,0.37797619047619047,0.3772455089820359,0.9921259842519685,0.004784688995215311,0.4984553366235919,0.5,334,0.9940476190476191,2.6507936507936507,0.5466377440347071,0.7482185273159145,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,1,208,1,126,0.02,0.37797619047619047,0.3772455089820359,0.9921259842519685,0.004784688995215311,0.4984553366235919,0.5,334,0.9940476190476191,2.6507936507936507,0.5466377440347071,0.7482185273159145,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,1,208,1,126,0.03,0.37797619047619047,0.3772455089820359,0.9921259842519685,0.004784688995215311,0.4984553366235919,0.5,334,0.9940476190476191,2.6507936507936507,0.5466377440347071,0.7482185273159145,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,1,208,1,126,0.04,0.37797619047619047,0.3772455089820359,0.9921259842519685,0.004784688995215311,0.4984553366235919,0.5,334,0.9940476190476191,2.6507936507936507,0.5466377440347071,0.7482185273159145,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,2,207,1,126,0.05,0.38095238095238093,0.3783783783783784,0.9921259842519685,0.009569377990430622,0.5008476811211996,0.6666666666666666,333,0.9910714285714286,2.642857142857143,0.5478260869565217,0.7491082045184304,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,3,206,1,126,0.06,0.38392857142857145,0.3795180722891566,0.9921259842519685,0.014354066985645933,0.5032400256188072,0.75,332,0.9880952380952381,2.634920634920635,0.5490196078431373,0.75,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,3,206,1,126,0.07,0.38392857142857145,0.3795180722891566,0.9921259842519685,0.014354066985645933,0.5032400256188072,0.75,332,0.9880952380952381,2.634920634920635,0.5490196078431373,0.75,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,6,203,2,125,0.08,0.3898809523809524,0.38109756097560976,0.984251968503937,0.028708133971291867,0.5064800512376144,0.75,328,0.9761904761904762,2.624,0.5494505494505495,0.7476076555023924,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,6,203,2,125,0.09,0.3898809523809524,0.38109756097560976,0.984251968503937,0.028708133971291867,0.5064800512376144,0.75,328,0.9761904761904762,2.624,0.5494505494505495,0.7476076555023924,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,11,198,4,123,0.1,0.39880952380952384,0.38317757009345793,0.968503937007874,0.05263157894736842,0.5105677579776212,0.7333333333333333,321,0.9553571428571429,2.6097560975609757,0.5491071428571429,0.7418576598311218,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,19,190,7,120,0.11,0.41369047619047616,0.3870967741935484,0.9448818897637795,0.09090909090909091,0.5178954903364352,0.7307692307692307,310,0.9226190476190477,2.5833333333333335,0.5491990846681922,0.7334963325183375,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,28,181,9,118,0.12,0.43452380952380953,0.39464882943143814,0.9291338582677166,0.1339712918660287,0.5315525750668726,0.7567567567567568,299,0.8898809523809523,2.5338983050847457,0.5539906103286385,0.7311028500619579,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,56,153,11,116,0.13,0.5119047619047619,0.4312267657992565,0.9133858267716536,0.2679425837320574,0.5906642052518555,0.835820895522388,269,0.8005952380952381,2.3189655172413794,0.5858585858585859,0.7464607464607464,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
336,127,209,69,140,11,116,0.14,0.5505952380952381,0.453125,0.9133858267716536,0.33014354066985646,0.621764683720755,0.8625,256,0.7619047619047619,2.206896551724138,0.6057441253263708,0.7591623036649214,0.7196624345401801,0.5774921254171566,0.19969892073556134,0.0781652809527299,False,diagnostic only; not used for threshold selection
