model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.11,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.12,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.13,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.14,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,0,209,0,127,0.15,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,1,208,0,127,0.16,0.380952381,0.3791044776,1.0,0.004784689,0.5023923445,1.0,335,0.9970238095,2.6377952756,0.5497835498,0.753262159,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,4,205,1,126,0.17,0.3869047619,0.3806646526,0.9921259843,0.019138756,0.5056323701,0.8,331,0.9851190476,2.626984127,0.5502183406,0.7508939213,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,9,200,2,125,0.18,0.3988095238,0.3846153846,0.9842519685,0.043062201,0.5136570847,0.8181818182,325,0.9672619048,2.6,0.5530973451,0.75030012,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,17,192,3,124,0.19,0.4196428571,0.3924050633,0.9763779528,0.0813397129,0.5288588328,0.85,316,0.9404761905,2.5483870968,0.5598194131,0.7524271845,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,23,186,3,124,0.2,0.4375,0.4,0.9763779528,0.1100478469,0.5432128998,0.8846153846,310,0.9226190476,2.5,0.5675057208,0.7579462103,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,31,178,6,121,0.21,0.4523809524,0.4046822742,0.9527559055,0.1483253589,0.5505406322,0.8378378378,299,0.8898809524,2.4710743802,0.5680751174,0.7496902107,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,36,173,7,120,0.22,0.4642857143,0.409556314,0.9448818898,0.1722488038,0.5585653468,0.8372093023,293,0.8720238095,2.4416666667,0.5714285714,0.7490636704,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,46,163,7,120,0.23,0.494047619,0.4240282686,0.9448818898,0.2200956938,0.5824887918,0.8679245283,283,0.8422619048,2.3583333333,0.5853658537,0.7585335019,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,53,156,8,119,0.24,0.5119047619,0.4327272727,0.937007874,0.2535885167,0.5952981954,0.868852459,275,0.818452381,2.3109243697,0.592039801,0.7598978289,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,59,150,9,118,0.25,0.5267857143,0.4402985075,0.9291338583,0.2822966507,0.6057152545,0.8676470588,268,0.7976190476,2.2711864407,0.5974683544,0.7603092784,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,68,141,9,118,0.26,0.5535714286,0.4555984556,0.9291338583,0.3253588517,0.627246355,0.8831168831,259,0.7708333333,2.1949152542,0.6113989637,0.7692307692,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,72,137,11,116,0.27,0.5595238095,0.4584980237,0.9133858268,0.3444976077,0.6289417172,0.8674698795,253,0.7529761905,2.1810344828,0.6105263158,0.7621550591,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,78,131,11,116,0.28,0.5773809524,0.4696356275,0.9133858268,0.3732057416,0.6432957842,0.8764044944,247,0.7351190476,2.1293103448,0.6203208556,0.7682119205,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,79,130,12,115,0.29,0.5773809524,0.4693877551,0.905511811,0.3779904306,0.6417511208,0.8681318681,245,0.7291666667,2.1304347826,0.6182795699,0.7636122178,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,84,125,15,112,0.3,0.5833333333,0.4725738397,0.8818897638,0.4019138756,0.6419018197,0.8484848485,237,0.7053571429,2.1160714286,0.6153846154,0.7516778523,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,88,121,16,111,0.31,0.5922619048,0.4784482759,0.874015748,0.4210526316,0.6475341898,0.8461538462,232,0.6904761905,2.0900900901,0.6183844011,0.75,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,90,119,16,111,0.32,0.5982142857,0.4826086957,0.874015748,0.4306220096,0.6523188788,0.8490566038,230,0.6845238095,2.0720720721,0.6218487395,0.7520325203,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,95,114,17,110,0.33,0.6101190476,0.4910714286,0.8661417323,0.4545454545,0.6603435934,0.8482142857,224,0.6666666667,2.0363636364,0.6267806268,0.7513661202,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,101,108,18,109,0.34,0.625,0.5023041475,0.8582677165,0.4832535885,0.6707606525,0.8487394958,217,0.6458333333,1.9908256881,0.6337209302,0.7517241379,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,105,104,21,106,0.35,0.6279761905,0.5047619048,0.8346456693,0.5023923445,0.6685190069,0.8333333333,210,0.625,1.9811320755,0.6290801187,0.7381615599,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,107,102,21,106,0.36,0.6339285714,0.5096153846,0.8346456693,0.5119617225,0.6733036959,0.8359375,208,0.619047619,1.9622641509,0.6328358209,0.7402234637,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,112,97,23,104,0.37,0.6428571429,0.5174129353,0.8188976378,0.5358851675,0.6773914026,0.8296296296,201,0.5982142857,1.9326923077,0.6341463415,0.7334273625,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,114,95,23,104,0.38,0.6488095238,0.5226130653,0.8188976378,0.5454545455,0.6821760916,0.8321167883,199,0.5922619048,1.9134615385,0.6380368098,0.7355021216,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,115,94,25,102,0.39,0.6458333333,0.5204081633,0.8031496063,0.5502392344,0.6766944204,0.8214285714,196,0.5833333333,1.9215686275,0.6315789474,0.7244318182,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,116,93,27,100,0.4,0.6428571429,0.518134715,0.7874015748,0.5550239234,0.6712127491,0.8111888112,193,0.5744047619,1.93,0.625,0.7132667618,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,121,88,29,98,0.41,0.6517857143,0.5268817204,0.7716535433,0.5789473684,0.6753004559,0.8066666667,186,0.5535714286,1.8979591837,0.6261980831,0.7060518732,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,125,84,31,96,0.42,0.6577380952,0.5333333333,0.7559055118,0.5980861244,0.6769958181,0.8012820513,180,0.5357142857,1.875,0.6254071661,0.6976744186,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,129,80,32,95,0.43,0.6666666667,0.5428571429,0.7480314961,0.6172248804,0.6826281882,0.801242236,175,0.5208333333,1.8421052632,0.6291390728,0.6954612006,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,131,78,34,93,0.44,0.6666666667,0.5438596491,0.7322834646,0.6267942584,0.6795388615,0.7939393939,171,0.5089285714,1.8387096774,0.6241610738,0.6848306333,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,134,75,35,92,0.45,0.6726190476,0.5508982036,0.7244094488,0.6411483254,0.6827788871,0.7928994083,167,0.4970238095,1.8152173913,0.6258503401,0.6814814815,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,137,72,35,92,0.46,0.681547619,0.5609756098,0.7244094488,0.6555023923,0.6899559206,0.7965116279,164,0.4880952381,1.7826086957,0.6323024055,0.6845238095,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,139,70,35,92,0.47,0.6875,0.5679012346,0.7244094488,0.6650717703,0.6947406096,0.7988505747,162,0.4821428571,1.7608695652,0.6366782007,0.6865671642,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,140,69,38,89,0.48,0.681547619,0.5632911392,0.7007874016,0.6698564593,0.6853219305,0.7865168539,158,0.4702380952,1.7752808989,0.6245614035,0.6681681682,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,143,66,40,87,0.49,0.6845238095,0.568627451,0.6850393701,0.6842105263,0.6846249482,0.781420765,153,0.4553571429,1.7586206897,0.6214285714,0.6580937973,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,145,64,40,87,0.5,0.6904761905,0.5761589404,0.6850393701,0.6937799043,0.6894096372,0.7837837838,151,0.4494047619,1.7356321839,0.6258992806,0.660091047,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,149,60,42,85,0.51,0.6964285714,0.5862068966,0.6692913386,0.7129186603,0.6911049994,0.780104712,145,0.431547619,1.7058823529,0.625,0.6508422665,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,152,57,42,85,0.52,0.7053571429,0.5985915493,0.6692913386,0.7272727273,0.6982820329,0.7835051546,142,0.4226190476,1.6705882353,0.6319702602,0.6538461538,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,155,54,43,84,0.53,0.7113095238,0.6086956522,0.6614173228,0.7416267943,0.7015220585,0.7828282828,138,0.4107142857,1.6428571429,0.6339622642,0.6501547988,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,157,52,47,80,0.54,0.7053571429,0.6060606061,0.6299212598,0.7511961722,0.690558716,0.7696078431,132,0.3928571429,1.65,0.6177606178,0.625,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,160,49,50,77,0.55,0.7053571429,0.6111111111,0.6062992126,0.7655502392,0.6859247259,0.7619047619,126,0.375,1.6363636364,0.6086956522,0.6072555205,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,163,46,51,76,0.56,0.7113095238,0.6229508197,0.5984251969,0.7799043062,0.6891647515,0.761682243,122,0.3630952381,1.6052631579,0.6104417671,0.6031746032,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,167,42,55,72,0.57,0.7113095238,0.6315789474,0.5669291339,0.7990430622,0.682986098,0.7522522523,114,0.3392857143,1.5833333333,0.5975103734,0.578778135,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,171,38,57,70,0.58,0.7172619048,0.6481481481,0.5511811024,0.8181818182,0.6846814603,0.75,108,0.3214285714,1.5428571429,0.5957446809,0.5681818182,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,172,37,59,68,0.59,0.7142857143,0.6476190476,0.5354330709,0.8229665072,0.679199789,0.7445887446,105,0.3125,1.5441176471,0.5862068966,0.5546492659,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,174,35,62,65,0.6,0.7113095238,0.65,0.5118110236,0.8325358852,0.6721734544,0.7372881356,100,0.2976190476,1.5384615385,0.5726872247,0.5345394737,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,177,32,66,61,0.61,0.7083333333,0.6559139785,0.4803149606,0.8468899522,0.6636024564,0.7283950617,93,0.2767857143,1.5245901639,0.5545454545,0.5074875208,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,179,30,68,59,0.62,0.7083333333,0.6629213483,0.4645669291,0.8564593301,0.6605131296,0.7246963563,89,0.2648809524,1.5084745763,0.5462962963,0.4941373534,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,180,29,70,57,0.63,0.7053571429,0.6627906977,0.4488188976,0.8612440191,0.6550314584,0.72,86,0.255952381,1.5087719298,0.5352112676,0.4797979798,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,182,27,71,56,0.64,0.7083333333,0.6746987952,0.4409448819,0.8708133971,0.6558791395,0.7193675889,83,0.2470238095,1.4821428571,0.5333333333,0.4737732657,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,185,24,73,54,0.65,0.7113095238,0.6923076923,0.4251968504,0.8851674641,0.6551821573,0.7170542636,78,0.2321428571,1.4444444444,0.5268292683,0.4607508532,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,188,21,74,53,0.66,0.7172619048,0.7162162162,0.4173228346,0.8995215311,0.6584221829,0.7175572519,74,0.2202380952,1.3962264151,0.5273631841,0.4553264605,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,188,21,76,51,0.67,0.7113095238,0.7083333333,0.4015748031,0.8995215311,0.6505481671,0.7121212121,72,0.2142857143,1.4117647059,0.5125628141,0.4396551724,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,190,19,78,49,0.68,0.7113095238,0.7205882353,0.3858267717,0.9090909091,0.6474588404,0.7089552239,68,0.2023809524,1.387755102,0.5025641026,0.4253472222,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,191,18,81,46,0.69,0.7053571429,0.71875,0.3622047244,0.9138755981,0.6380401612,0.7022058824,64,0.1904761905,1.3913043478,0.4816753927,0.4020979021,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,191,18,82,45,0.7,0.7023809524,0.7142857143,0.3543307087,0.9138755981,0.6341031534,0.6996336996,63,0.1875,1.4,0.4736842105,0.3940455342,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,193,16,85,42,0.71,0.6994047619,0.724137931,0.3307086614,0.9234449761,0.6270768187,0.6942446043,58,0.1726190476,1.380952381,0.4540540541,0.371024735,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,193,16,88,39,0.72,0.6904761905,0.7090909091,0.3070866142,0.9234449761,0.6152657951,0.6868327402,55,0.1636904762,1.4102564103,0.4285714286,0.3463587922,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,194,15,90,37,0.73,0.6875,0.7115384615,0.2913385827,0.9282296651,0.6097841239,0.6830985915,52,0.1547619048,1.4054054054,0.4134078212,0.3303571429,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,196,13,91,36,0.74,0.6904761905,0.7346938776,0.2834645669,0.9377990431,0.610631805,0.6829268293,49,0.1458333333,1.3611111111,0.4090909091,0.3231597846,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,196,13,93,34,0.75,0.6845238095,0.7234042553,0.2677165354,0.9377990431,0.6027577892,0.678200692,47,0.1398809524,1.3823529412,0.3908045977,0.3063063063,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,197,12,96,31,0.76,0.6785714286,0.7209302326,0.2440944882,0.9425837321,0.5933391101,0.6723549488,43,0.1279761905,1.3870967742,0.3647058824,0.2813067151,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,198,11,99,28,0.77,0.6726190476,0.7179487179,0.2204724409,0.9473684211,0.583920431,0.6666666667,39,0.1160714286,1.3928571429,0.3373493976,0.2559414991,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,199,10,99,28,0.78,0.6755952381,0.7368421053,0.2204724409,0.95215311,0.5863127755,0.6677852349,38,0.1130952381,1.3571428571,0.3393939394,0.2564102564,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,200,9,101,26,0.79,0.6726190476,0.7428571429,0.2047244094,0.956937799,0.5808311042,0.6644518272,35,0.1041666667,1.3461538462,0.3209876543,0.2394106814,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,201,8,103,24,0.8,0.6696428571,0.75,0.188976378,0.961722488,0.575349433,0.6611842105,32,0.0952380952,1.3333333333,0.3018867925,0.2222222222,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,201,8,104,23,0.81,0.6666666667,0.7419354839,0.1811023622,0.961722488,0.5714124251,0.6590163934,31,0.0922619048,1.347826087,0.2911392405,0.2133580705,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,202,7,106,21,0.82,0.6636904762,0.75,0.1653543307,0.966507177,0.5659307539,0.6558441558,28,0.0833333333,1.3333333333,0.2709677419,0.1958955224,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,202,7,109,18,0.83,0.6547619048,0.72,0.1417322835,0.966507177,0.5541197302,0.6495176849,25,0.0744047619,1.3888888889,0.2368421053,0.1688555347,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,202,7,110,17,0.84,0.6517857143,0.7083333333,0.1338582677,0.966507177,0.5501827224,0.6474358974,24,0.0714285714,1.4117647059,0.2251655629,0.1597744361,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,202,7,112,15,0.85,0.6458333333,0.6818181818,0.1181102362,0.966507177,0.5423087066,0.6433121019,22,0.0654761905,1.4666666667,0.2013422819,0.141509434,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,204,5,113,14,0.86,0.6488095238,0.7368421053,0.1102362205,0.976076555,0.5431563877,0.643533123,19,0.056547619,1.3571428571,0.1917808219,0.1328273245,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,205,4,116,11,0.87,0.6428571429,0.7333333333,0.0866141732,0.980861244,0.5337377086,0.6386292835,15,0.0446428571,1.3636363636,0.1549295775,0.1051625239,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,206,3,118,9,0.88,0.6398809524,0.75,0.0708661417,0.985645933,0.5282560374,0.6358024691,12,0.0357142857,1.3333333333,0.1294964029,0.0865384615,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,207,2,120,7,0.89,0.6369047619,0.7777777778,0.0551181102,0.990430622,0.5227743661,0.6330275229,9,0.0267857143,1.2857142857,0.1029411765,0.0676982592,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,208,1,121,6,0.9,0.6369047619,0.8571428571,0.0472440945,0.995215311,0.5212297027,0.632218845,7,0.0208333333,1.1666666667,0.0895522388,0.0582524272,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,208,1,123,4,0.91,0.630952381,0.8,0.031496063,0.995215311,0.513355687,0.6283987915,5,0.0148809524,1.25,0.0606060606,0.0389863548,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,125,2,0.92,0.6279761905,1.0,0.0157480315,1.0,0.5078740157,0.625748503,2,0.005952381,1.0,0.0310077519,0.0196078431,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,125,2,0.93,0.6279761905,1.0,0.0157480315,1.0,0.5078740157,0.625748503,2,0.005952381,1.0,0.0310077519,0.0196078431,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,126,1,0.94,0.625,1.0,0.0078740157,1.0,0.5039370079,0.623880597,1,0.0029761905,1.0,0.015625,0.0098231827,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,126,1,0.95,0.625,1.0,0.0078740157,1.0,0.5039370079,0.623880597,1,0.0029761905,1.0,0.015625,0.0098231827,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,126,1,0.96,0.625,1.0,0.0078740157,1.0,0.5039370079,0.623880597,1,0.0029761905,1.0,0.015625,0.0098231827,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,127,0,0.97,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,127,0,0.98,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7513845458,0.6426317016,0.2012871094,0.0959813899
B-TabPFN K=1 fixed-K development OOF,336,127,209,209,0,127,0,0.99,0.6220238095,0.0,0.0,1.0,0.5,0.6220238095,0,0.0,,0.0,0.0,0.7513845458,0.6426317016,0.2012871094,0.0959813899
