feature,Q10_Financial_Difficulty,Q11_Internet_Access,Q12_Outside_Responsibilities,Q13_Faculty,Q14_Year,Q16_Belonging,Q1_Academic_Performance,Q2_Attendance,Q3_Assignments,Q4_Repeating,Q6_PHQ2_Interest,Q7_PHQ2_Depressed,Q8_GAD2_Nervous,Q9_GAD2_Worry
Q10_Financial_Difficulty,0.0,8.76173954878163e-05,-7.072631201506896e-05,-0.0002054199986046,-0.0013247601392288,-0.0017112955926872,-0.0001883694927376,-0.0012614683963167,0.0016934089206032,-0.0020990028080185,0.0021287092598789,-0.0044257195154205,-0.0018717650942426,-0.001924154583105
Q11_Internet_Access,8.76173954878163e-05,0.0,0.0013939837816804,0.0005684560655264,0.0001742267807375,-0.0018888169957349,-0.0012864317664841,-0.0025786810095233,0.0001206981488105,-0.0003335803689074,-0.0011141444479615,-0.0017710771265069,-0.0007653521814871,0.0007216355157697
Q12_Outside_Responsibilities,-7.072631201506896e-05,0.0013939837816804,0.0,-0.002535059172276,0.0003810719104633,-0.0002036692709349,0.0011254847433888,-0.0031700640670635,0.0009585297118552,-0.0013936333170638,7.448093677257859e-07,0.0008584111083352,0.0028416845901535,4.232259400193444e-05
Q13_Faculty,-0.0002054199986046,0.0005684560655264,-0.002535059172276,0.0,-0.0009905912117168,-0.0027918001664621,0.0015621417736128,0.000331205640106,0.0003928161942713,0.0002030820862623,-0.0003397135515351,-0.0012888960717209,-0.0007008533421473,-0.0024251440790624
Q14_Year,-0.0013247601392288,0.0001742267807375,0.0003810719104633,-0.0009905912117168,0.0,0.0001486459652913,0.0019087209549799,-0.0038625899124389,-0.0017432814838023,-0.0005385349413885,-0.0004973938769041,-0.0011104171706866,-0.0006076264460772,1.5559738378375808e-06
Q16_Belonging,-0.0017112955926872,-0.0018888169957349,-0.0002036692709349,-0.0027918001664621,0.0001486459652913,0.0,-0.0037613347419773,-0.0052851389182279,-0.0004341014273773,-0.003652778538694,-0.0040054611090561,-0.0013959277291827,-0.0063869831784044,-0.0040391231474
Q1_Academic_Performance,-0.0001883694927376,-0.0012864317664841,0.0011254847433888,0.0015621417736128,0.0019087209549799,-0.0037613347419773,0.0,-0.0024301642391391,-0.0018492070448524,0.0015085259085364,-0.0023320138616929,-0.0017426167787131,-0.0020048601135414,-0.003202896692446
Q2_Attendance,-0.0012614683963167,-0.0025786810095233,-0.0031700640670635,0.000331205640106,-0.0038625899124389,-0.0052851389182279,-0.0024301642391391,0.0,-0.0083677780378705,-0.007290514518605,-0.0005114379225641,-0.0045221755960258,-0.0005429685447517,-0.0013578902776931
Q3_Assignments,0.0016934089206032,0.0001206981488105,0.0009585297118552,0.0003928161942713,-0.0017432814838023,-0.0004341014273773,-0.0018492070448524,-0.0083677780378705,0.0,0.0006390818372036,0.0010366561089783,0.0004308343557167,0.0012042360363108,-0.0005220549570013
Q4_Repeating,-0.0020990028080185,-0.0003335803689074,-0.0013936333170638,0.0002030820862623,-0.0005385349413885,-0.003652778538694,0.0015085259085364,-0.007290514518605,0.0006390818372036,0.0,-0.0006019422796017,-0.0008291192216814,0.0060031017219371,0.0038994716331626
Q6_PHQ2_Interest,0.0021287092598789,-0.0011141444479615,7.448093677257859e-07,-0.0003397135515351,-0.0004973938769041,-0.0040054611090561,-0.0023320138616929,-0.0005114379225641,0.0010366561089783,-0.0006019422796017,0.0,-0.0054318466767989,-0.0128940927069631,-0.0074619627197189
Q7_PHQ2_Depressed,-0.0044257195154205,-0.0017710771265069,0.0008584111083352,-0.0012888960717209,-0.0011104171706866,-0.0013959277291827,-0.0017426167787131,-0.0045221755960258,0.0004308343557167,-0.0008291192216814,-0.0054318466767989,0.0,-0.017390576650896,-0.0161778449619532
Q8_GAD2_Nervous,-0.0018717650942426,-0.0007653521814871,0.0028416845901535,-0.0007008533421473,-0.0006076264460772,-0.0063869831784044,-0.0020048601135414,-0.0005429685447517,0.0012042360363108,0.0060031017219371,-0.0128940927069631,-0.017390576650896,0.0,-0.020536836240672
Q9_GAD2_Worry,-0.001924154583105,0.0007216355157697,4.232259400193444e-05,-0.0024251440790624,1.5559738378375808e-06,-0.0040391231474,-0.003202896692446,-0.0013578902776931,-0.0005220549570013,0.0038994716331626,-0.0074619627197189,-0.0161778449619532,-0.020536836240672,0.0
