partition,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
nested_development_oof,Gaussian Naive Bayes,336,127,209,22,187,4,123,0.5,0.43154761904761907,0.3967741935483871,0.968503937007874,0.10526315789473684,0.5368835474513054,0.8461538461538461,310,0.9226190476190477,2.5203252032520327,0.562929061784897,0.7518337408312958,0.7094902610857854,0.5981390408667777,0.5348484115864481,0.547234230427981
nested_development_oof,B-TabPFN nested K,336,127,209,148,61,41,86,0.5,0.6964285714285714,0.5850340136054422,0.6771653543307087,0.7081339712918661,0.6926496628112874,0.783068783068783,147,0.4375,1.7093023255813953,0.6277372262773723,0.6564885496183206,0.75226990166899,0.644206828447311,0.20085422423665183,0.0942533974580112
nested_development_oof,Logistic Regression,336,127,209,156,53,46,81,0.5,0.7053571428571429,0.6044776119402985,0.6377952755905512,0.7464114832535885,0.6921033794220699,0.7722772277227723,134,0.39880952380952384,1.654320987654321,0.6206896551724138,0.6308411214953271,0.7342425498248124,0.6157878684423486,0.20720116580497688,0.09424095413210856
nested_development_oof,Random Forest,336,127,209,156,53,46,81,0.5,0.7053571428571429,0.6044776119402985,0.6377952755905512,0.7464114832535885,0.6921033794220699,0.7722772277227723,134,0.39880952380952384,1.654320987654321,0.6206896551724138,0.6308411214953271,0.7400821308819652,0.6420437361139963,0.20166361227875096,0.0983210096069109
nested_development_oof,XGBoost,336,127,209,155,54,48,79,0.5,0.6964285714285714,0.5939849624060151,0.6220472440944882,0.7416267942583732,0.6818370191764307,0.7635467980295566,133,0.3958333333333333,1.6835443037974684,0.6076923076923076,0.6162246489859594,0.7106205025807182,0.6243676214063216,0.21577262624715052,0.12277016778742628
nested_development_oof,Standard TabPFN v2,336,127,209,174,35,65,62,0.5,0.7023809523809523,0.6391752577319587,0.4881889763779528,0.8325358851674641,0.6603624307727085,0.7280334728033473,97,0.28869047619047616,1.564516129032258,0.5535714285714286,0.512396694214876,0.7525336246844743,0.6394063959069594,0.19189386486559362,0.05471696409707267
nested_development_oof,KNN,336,127,209,175,34,67,60,0.5,0.6994047619047619,0.6382978723404256,0.47244094488188976,0.8373205741626795,0.6548807595222846,0.7231404958677686,94,0.27976190476190477,1.5666666666666667,0.5429864253393665,0.4983388704318937,0.7062879101834758,0.5664284476709082,0.2200428978441275,0.11422873218227654
