partition,train_complete_n,test_complete_n,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
held_out_test_complete_cases,326,82,Standard TabPFN v2,82,31,51,42,9,13,18,0.5,0.7317073170731707,0.6666666666666666,0.5806451612903226,0.8235294117647058,0.7020872865275143,0.7636363636363637,27,0.32926829268292684,1.5,0.6206896551724138,0.5960264900662252,0.7545857052498419,0.6774352916402963,0.18833916480848178,0.1004395046066947
held_out_test_complete_cases,326,82,B-TabPFN K=1,82,31,51,37,14,8,23,0.5,0.7317073170731707,0.6216216216216216,0.7419354838709677,0.7254901960784313,0.7337128399746995,0.8222222222222222,37,0.45121951219512196,1.608695652173913,0.6764705882352942,0.7142857142857143,0.7406704617330804,0.6467274338619757,0.20731425831953287,0.13134283190820278
