prevalence_condition,context_n_mean,context_n_min,context_n_max,realized_prevalence_mean,recall_mean,recall_sd,f2_mean,brier_mean,accuracy_mean,precision_mean,f1_mean,average_precision_mean,auc_roc_mean,ece_mean,evaluations
0.40,228.6,228,230,0.39938596491228073,0.5157692307692308,0.15349804721384464,0.5315200181062026,0.19434251448563178,0.703475935828877,0.6320917415917416,0.5605671401062705,0.6698571214807362,0.7453547008547008,0.1832846084704586,50
0.50,228.6,228,230,0.5,0.6933333333333332,0.15903174130230793,0.6676259622813306,0.2025929711872694,0.7019786096256685,0.5942999522836984,0.635297667852613,0.6762855657441199,0.7488058608058609,0.19052101845011354,50
natural,228.6,228,230,0.37751334858886343,0.4807692307692308,0.14555543213410638,0.5036760856659176,0.1944190264939218,0.7058288770053476,0.6511785436785437,0.5458235043370054,0.6721173694752138,0.7455042735042735,0.17615959975914947,50
