analysis,group,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
observed_subgroup,poor_q11_0_1,Standard TabPFN v2,32,8,24,21,3,3,5,0.5,0.8125,0.625,0.625,0.875,0.75,0.875,8,0.25,1.6,0.625,0.625,0.671875,0.6641760651629073,0.16823482208398238,0.1729547588620335
observed_subgroup,poor_q11_0_1,B-TabPFN K=1,32,8,24,17,7,3,5,0.5,0.6875,0.4166666666666667,0.625,0.7083333333333334,0.6666666666666667,0.85,12,0.375,2.4,0.5,0.5681818181818182,0.6614583333333333,0.6604166666666667,0.22362142885913724,0.2811051500029862
observed_subgroup,reliable_q11_2_3,Standard TabPFN v2,53,24,29,22,7,10,14,0.5,0.6792452830188679,0.6666666666666666,0.5833333333333334,0.7586206896551724,0.6709770114942528,0.6875,21,0.39622641509433965,1.5,0.6222222222222222,0.5982905982905983,0.7586206896551724,0.6962278999776754,0.20479110656377078,0.15218878762339647
observed_subgroup,reliable_q11_2_3,B-TabPFN K=1,53,24,29,21,8,6,18,0.5,0.7358490566037735,0.6923076923076923,0.75,0.7241379310344828,0.7370689655172413,0.7777777777777778,26,0.49056603773584906,1.4444444444444444,0.72,0.7377049180327869,0.7600574712643678,0.6555298793336873,0.20351746777258214,0.16941407379114398
