model,repeat,batch_n,milliseconds_per_assessment,measurement
Standard TabPFN v2,1,1,324.3331560001934,warm_prediction_no_fit
Standard TabPFN v2,2,1,331.5503759999956,warm_prediction_no_fit
Standard TabPFN v2,3,1,319.88960399985444,warm_prediction_no_fit
Standard TabPFN v2,4,1,326.04753900000105,warm_prediction_no_fit
Standard TabPFN v2,5,1,339.3085570000949,warm_prediction_no_fit
Standard TabPFN v2,6,1,320.1556070000606,warm_prediction_no_fit
Standard TabPFN v2,7,1,333.7178470001163,warm_prediction_no_fit
Standard TabPFN v2,8,1,345.77669400005107,warm_prediction_no_fit
Standard TabPFN v2,9,1,326.3068620001377,warm_prediction_no_fit
Standard TabPFN v2,10,1,327.44595500003015,warm_prediction_no_fit
Standard TabPFN v2,11,1,335.877470000014,warm_prediction_no_fit
Standard TabPFN v2,12,1,309.28427399999237,warm_prediction_no_fit
Standard TabPFN v2,13,1,316.87847399985003,warm_prediction_no_fit
Standard TabPFN v2,14,1,346.40408599989314,warm_prediction_no_fit
Standard TabPFN v2,15,1,328.5687049999524,warm_prediction_no_fit
Standard TabPFN v2,16,1,349.37803200000417,warm_prediction_no_fit
Standard TabPFN v2,17,1,339.15925900009825,warm_prediction_no_fit
Standard TabPFN v2,18,1,437.729723999837,warm_prediction_no_fit
Standard TabPFN v2,19,1,422.22018400002526,warm_prediction_no_fit
Standard TabPFN v2,20,1,434.18829899997036,warm_prediction_no_fit
Standard TabPFN v2,21,1,422.985282999889,warm_prediction_no_fit
Standard TabPFN v2,22,1,469.7559699998237,warm_prediction_no_fit
Standard TabPFN v2,23,1,406.3904970000749,warm_prediction_no_fit
Standard TabPFN v2,24,1,407.087588999957,warm_prediction_no_fit
Standard TabPFN v2,25,1,500.0184169998647,warm_prediction_no_fit
Standard TabPFN v2,26,1,438.1936370000403,warm_prediction_no_fit
Standard TabPFN v2,27,1,540.4573099999652,warm_prediction_no_fit
Standard TabPFN v2,28,1,481.32482999994863,warm_prediction_no_fit
Standard TabPFN v2,29,1,329.4609570000375,warm_prediction_no_fit
Standard TabPFN v2,30,1,336.13836400013497,warm_prediction_no_fit
Balanced context K=1,1,1,335.0863539999409,warm_sequential_member_prediction_no_fit
Balanced context K=1,2,1,325.57611600009295,warm_sequential_member_prediction_no_fit
Balanced context K=1,3,1,317.0040309998967,warm_sequential_member_prediction_no_fit
Balanced context K=1,4,1,321.05531899992457,warm_sequential_member_prediction_no_fit
Balanced context K=1,5,1,323.0687719999423,warm_sequential_member_prediction_no_fit
Balanced context K=1,6,1,313.29083499986154,warm_sequential_member_prediction_no_fit
Balanced context K=1,7,1,328.90769499999806,warm_sequential_member_prediction_no_fit
Balanced context K=1,8,1,333.0961369999841,warm_sequential_member_prediction_no_fit
Balanced context K=1,9,1,330.4652859999351,warm_sequential_member_prediction_no_fit
Balanced context K=1,10,1,331.76187799995205,warm_sequential_member_prediction_no_fit
Balanced context K=1,11,1,348.9242389998708,warm_sequential_member_prediction_no_fit
Balanced context K=1,12,1,320.27790399979494,warm_sequential_member_prediction_no_fit
Balanced context K=1,13,1,341.3844900001095,warm_sequential_member_prediction_no_fit
Balanced context K=1,14,1,317.32175699994514,warm_sequential_member_prediction_no_fit
Balanced context K=1,15,1,315.8338329999424,warm_sequential_member_prediction_no_fit
Balanced context K=1,16,1,342.8334170000653,warm_sequential_member_prediction_no_fit
Balanced context K=1,17,1,321.67712499995105,warm_sequential_member_prediction_no_fit
Balanced context K=1,18,1,307.5766830002067,warm_sequential_member_prediction_no_fit
Balanced context K=1,19,1,330.6933049998406,warm_sequential_member_prediction_no_fit
Balanced context K=1,20,1,320.4272929999661,warm_sequential_member_prediction_no_fit
Balanced context K=1,21,1,310.36736400005793,warm_sequential_member_prediction_no_fit
Balanced context K=1,22,1,323.2449629999792,warm_sequential_member_prediction_no_fit
Balanced context K=1,23,1,332.359950999944,warm_sequential_member_prediction_no_fit
Balanced context K=1,24,1,302.97435300008146,warm_sequential_member_prediction_no_fit
Balanced context K=1,25,1,315.7993649999753,warm_sequential_member_prediction_no_fit
Balanced context K=1,26,1,338.34514500017576,warm_sequential_member_prediction_no_fit
Balanced context K=1,27,1,461.61319300017567,warm_sequential_member_prediction_no_fit
Balanced context K=1,28,1,426.44094899992524,warm_sequential_member_prediction_no_fit
Balanced context K=1,29,1,418.53567099997235,warm_sequential_member_prediction_no_fit
Balanced context K=1,30,1,443.38974199990844,warm_sequential_member_prediction_no_fit
