outer_fold,inner_fold,feature,importance,positive_importance_share,selected_feature_set_json,fallback_top_feature_used
1,2,Q2_Attendance,0.029401460316817413,0.03763958431882363,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q3_Assignments,-0.008370814592703663,0.0,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q4_Repeating,0.041598121650798764,0.053253681637178196,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q6_PHQ2_Interest,0.06364102746366371,0.08147288582074196,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q7_PHQ2_Depressed,0.13936153371324014,0.178409852520138,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q8_GAD2_Nervous,0.04765532159285572,0.06100807497336965,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q9_GAD2_Worry,0.11489101622889623,0.1470828335131817,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q10_Financial_Difficulty,0.0849313787612761,0.10872867394176551,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q11_Internet_Access,0.04321926530208811,0.05532906063189869,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q12_Outside_Responsibilities,0.033105249927825875,0.04238115497077506,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q14_Year,0.032949956904704134,0.042182349715018004,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q16_Belonging,0.014927314782781895,0.019109864522571456,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,2,Q13_Faculty,0.060903972375351535,0.07796892327358698,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q1_Academic_Performance,0.01669114381270348,0.01701177553294915,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q2_Attendance,0.0788729675401201,0.08038809289923553,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q3_Assignments,0.07312233740067935,0.0745269949299806,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q4_Repeating,0.022727189240950747,0.02316377153060359,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q6_PHQ2_Interest,0.1388712426246898,0.14153891632728646,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q7_PHQ2_Depressed,0.1727568870745977,0.1760754935469029,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q8_GAD2_Nervous,0.05079041436110805,0.05176608254247008,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q9_GAD2_Worry,0.03633720763078,0.03703523417241903,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q10_Financial_Difficulty,0.0376589774191007,0.03838239475035569,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q11_Internet_Access,0.09844101770810412,0.1003320392704767,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q12_Outside_Responsibilities,0.05806358434541581,0.059178967877018415,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q14_Year,0.05429849732344805,0.055341554695604984,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q16_Belonging,0.05285503445201852,0.053870363347998475,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,3,Q13_Faculty,0.08966586498924926,0.09138831857669831,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q1_Academic_Performance,-0.006489118989119047,0.0,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q2_Attendance,0.0068920672131680735,0.014760712129419826,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q3_Assignments,0.005934652408276214,0.012710220762119698,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q4_Repeating,0.0005103887844713107,0.0010930975698077246,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q6_PHQ2_Interest,0.03743875841494263,0.08018243559639321,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q7_PHQ2_Depressed,0.10414314806884609,0.22304295378297173,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q8_GAD2_Nervous,0.04741583079274921,0.10155029065471528,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q9_GAD2_Worry,0.020107292446942697,0.043063705900069096,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q10_Financial_Difficulty,0.0244743461065912,0.05241660684111639,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q11_Internet_Access,0.06342508404049171,0.1358372427821428,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q12_Outside_Responsibilities,0.06201825400945658,0.13282424066523701,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q14_Year,0.016542198996327407,0.03542835985491308,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q16_Belonging,0.02385569082602431,0.05109163535994076,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,4,Q13_Faculty,0.05416198341449006,0.11599849810115347,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,5,Q1_Academic_Performance,-0.06619921462452324,0.0,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,5,Q2_Attendance,-0.025016485232553128,0.0,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,5,Q3_Assignments,0.021275445587372217,0.14062398789682193,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,5,Q4_Repeating,-0.026289376738704885,0.0,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
1,5,Q6_PHQ2_Interest,-0.033620782106237666,0.0,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False
