outer_fold,inner_fold,K,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
1,5,10,60,23,37,28,9,9,14,0.5,0.7,0.6086956522,0.6086956522,0.7567567568,0.6827262045,0.7567567568,23,0.3833333333,1.6428571429,0.6086956522,0.6086956522,0.7132784959,0.625376768,0.2166578086,0.1653365379
1,5,15,60,23,37,29,8,9,14,0.5,0.7166666667,0.6363636364,0.6086956522,0.7837837838,0.696239718,0.7631578947,22,0.3666666667,1.5714285714,0.6222222222,0.6140350877,0.7109283196,0.6213134688,0.21709646,0.1394051785
1,5,20,60,23,37,28,9,9,14,0.5,0.7,0.6086956522,0.6086956522,0.7567567568,0.6827262045,0.7567567568,23,0.3833333333,1.6428571429,0.6086956522,0.6086956522,0.7121034078,0.6220585599,0.216322762,0.0993036985
2,1,1,61,23,38,24,14,6,17,0.5,0.6721311475,0.5483870968,0.7391304348,0.6315789474,0.6853546911,0.8,31,0.5081967213,1.8235294118,0.6296296296,0.6910569106,0.76201373,0.6382763055,0.2067757699,0.1521506539
2,1,5,61,23,38,25,13,6,17,0.5,0.6885245902,0.5666666667,0.7391304348,0.6578947368,0.6985125858,0.8064516129,30,0.4918032787,1.7647058824,0.641509434,0.6967213115,0.795194508,0.6850649934,0.1940425164,0.1938966351
2,1,10,61,23,38,25,13,5,18,0.5,0.7049180328,0.5806451613,0.7826086957,0.6578947368,0.7202517162,0.8333333333,31,0.5081967213,1.7222222222,0.6666666667,0.7317073171,0.799771167,0.6595483504,0.1956222486,0.1922919877
2,1,15,61,23,38,25,13,7,16,0.5,0.6721311475,0.5517241379,0.6956521739,0.6578947368,0.6767734554,0.78125,29,0.4754098361,1.8125,0.6153846154,0.6611570248,0.8054919908,0.6882993856,0.1947742342,0.1854960103
2,1,20,61,23,38,25,13,6,17,0.5,0.6885245902,0.5666666667,0.7391304348,0.6578947368,0.6985125858,0.8064516129,30,0.4918032787,1.7647058824,0.641509434,0.6967213115,0.8009153318,0.6574846249,0.1945093181,0.1870271471
2,2,1,61,23,38,25,13,7,16,0.5,0.6721311475,0.5517241379,0.6956521739,0.6578947368,0.6767734554,0.78125,29,0.4754098361,1.8125,0.6153846154,0.6611570248,0.7723112128,0.6629613652,0.1948696854,0.1771476579
2,2,5,61,23,38,27,11,7,16,0.5,0.7049180328,0.5925925926,0.6956521739,0.7105263158,0.7030892449,0.7941176471,27,0.4426229508,1.6875,0.64,0.6722689076,0.76201373,0.6664365018,0.1957294301,0.1492841574
